id_prueba,timestamp,modo,tipo de evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,acierto,notas
56,2025-12-28T15:55:01.121396,MOBILE,capture,3,,LED,,starting,,00:00:06.526,,
57,2025-12-28T15:55:01.704047,MOBILE,capture,3,,LED,,finished (21801 bytes),,00:00:00.582,,
58,2025-12-28T15:55:01.707081,MOBILE,detectScene,3,,LED,,starting,,00:00:00.003,,
59,2025-12-28T15:55:01.820361,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.113,,
60,2025-12-28T15:55:02.065647,MOBILE,running inference,3,,LED,,,,00:00:00.245,,
61,2025-12-28T15:55:07.487933,MOBILE,finished inference,3,,LED,,,,00:00:05.422,,
62,2025-12-28T15:55:07.562740,MOBILE,classFrequency,3,,LED,,error: no known object/class was found,,00:00:00.074,,error: no known object/class was found
63,2025-12-28T15:55:07.573131,MOBILE,result,3,,LED,,unknown,0.000,00:00:00.010,,
64,2025-12-28T15:55:07.576170,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.003,,
65,2025-12-28T15:55:07.581191,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.005,,
66,2025-12-28T15:55:07.620968,MOBILE,converted output to speech,3,,LED,,,,00:00:00.039,,
67,2025-12-28T15:55:09.092916,MOBILE,capture,3,,LED,,starting,,00:00:01.471,,
68,2025-12-28T15:55:09.293645,MOBILE,capture,3,,LED,,finished (21851 bytes),,00:00:00.200,,
69,2025-12-28T15:55:09.308449,MOBILE,detectScene,3,,LED,,starting,,00:00:00.014,,
70,2025-12-28T15:55:09.447351,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.138,,
71,2025-12-28T15:55:09.727827,MOBILE,running inference,3,,LED,,,,00:00:00.280,,
72,2025-12-28T15:55:15.278225,MOBILE,finished inference,3,,LED,,,,00:00:05.550,,
73,2025-12-28T15:55:15.316375,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.038,,
74,2025-12-28T15:55:15.326534,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 2.00% | Pixels: 5406/270400,,00:00:00.010,,
75,2025-12-28T15:55:15.330196,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.003,,
76,2025-12-28T15:55:15.332924,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 2.0%)",,00:00:00.002,,
77,2025-12-28T15:55:15.335804,MOBILE,result,3,,LED,,person,0.020,00:00:00.002,,
78,2025-12-28T15:55:15.355872,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.020,,
79,2025-12-28T15:55:15.369757,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.013,,
80,2025-12-28T15:55:15.378314,MOBILE,converted output to speech,3,,LED,,,,00:00:00.008,,
81,2025-12-28T15:55:19.136664,MOBILE,capture,3,,LED,,starting,,00:00:03.758,,
82,2025-12-28T15:55:19.372817,MOBILE,capture,3,,LED,,finished (22834 bytes),,00:00:00.236,,
83,2025-12-28T15:55:19.377299,MOBILE,detectScene,3,,LED,,starting,,00:00:00.004,,
84,2025-12-28T15:55:19.593243,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.215,,
85,2025-12-28T15:55:19.800797,MOBILE,running inference,3,,LED,,,,00:00:00.207,,
86,2025-12-28T15:55:25.273301,MOBILE,finished inference,3,,LED,,,,00:00:05.472,,
87,2025-12-28T15:55:25.310529,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.037,,
88,2025-12-28T15:55:25.321059,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 0.85% | Pixels: 2299/270400,,00:00:00.010,,
89,2025-12-28T15:55:25.328858,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.007,,
90,2025-12-28T15:55:25.340713,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 0.9%)",,00:00:00.011,,
91,2025-12-28T15:55:25.355752,MOBILE,result,3,,LED,,person,0.009,00:00:00.015,,
92,2025-12-28T15:55:25.365400,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.009,,
93,2025-12-28T15:55:25.371039,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.005,,
94,2025-12-28T15:55:25.402535,MOBILE,converted output to speech,3,,LED,,,,00:00:00.031,,
95,2025-12-28T15:55:29.133934,MOBILE,capture,3,,LED,,starting,,00:00:03.731,,
96,2025-12-28T15:55:29.456140,MOBILE,capture,3,,LED,,finished (24454 bytes),,00:00:00.322,,
97,2025-12-28T15:55:29.461804,MOBILE,detectScene,3,,LED,,starting,,00:00:00.005,,
98,2025-12-28T15:55:29.715447,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.253,,
99,2025-12-28T15:55:29.943501,MOBILE,running inference,3,,LED,,,,00:00:00.228,,
100,2025-12-28T15:55:35.370461,MOBILE,finished inference,3,,LED,,,,00:00:05.426,,
101,2025-12-28T15:55:35.405018,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.034,,
102,2025-12-28T15:55:35.413746,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 3.57% | Pixels: 9664/270400,,00:00:00.008,,
103,2025-12-28T15:55:35.416896,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.003,,
104,2025-12-28T15:55:35.419916,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 3.6%)",,00:00:00.003,,
105,2025-12-28T15:55:35.422684,MOBILE,result,3,,LED,,person,0.036,00:00:00.002,,
106,2025-12-28T15:55:35.442251,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.019,,
107,2025-12-28T15:55:35.457228,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.014,,
108,2025-12-28T15:55:35.497092,MOBILE,converted output to speech,3,,LED,,,,00:00:00.039,,
109,2025-12-28T15:57:45.188722,MOBILE,capture,3,,LED,,starting,,00:02:09.691,,
110,2025-12-28T15:57:48.162430,MOBILE,capture,3,,LED,,finished (25749 bytes),,00:00:02.973,,
111,2025-12-28T15:57:48.166637,MOBILE,detectScene,3,,LED,,starting,,00:00:00.004,,
112,2025-12-28T15:57:48.313008,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.146,,
113,2025-12-28T15:57:48.592024,MOBILE,running inference,3,,LED,,,,00:00:00.279,,
114,2025-12-28T15:57:53.962737,MOBILE,finished inference,3,,LED,,,,00:00:05.370,,
115,2025-12-28T15:57:53.998990,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.036,,
116,2025-12-28T15:57:54.008890,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 7.56% | Pixels: 20454/270400,,00:00:00.009,,
117,2025-12-28T15:57:54.035425,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.026,,
118,2025-12-28T15:57:54.040277,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 7.6%)",,00:00:00.004,,
119,2025-12-28T15:57:54.057862,MOBILE,result,3,,LED,,person,0.076,00:00:00.017,,
120,2025-12-28T15:57:54.079387,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.021,,
121,2025-12-28T15:57:54.087188,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.007,,
122,2025-12-28T15:57:54.104535,MOBILE,converted output to speech,3,,LED,,,,00:00:00.017,,
123,2025-12-28T16:01:22.834902,MOBILE,capture,3,,LED,,starting,,00:03:28.730,,
124,2025-12-28T16:01:25.709309,MOBILE,capture,3,,LED,,finished (27514 bytes),,00:00:02.874,,
125,2025-12-28T16:01:25.714009,MOBILE,detectScene,3,,LED,,starting,,00:00:00.004,,
126,2025-12-28T16:01:25.839713,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.125,,
127,2025-12-28T16:01:26.101582,MOBILE,running inference,3,,LED,,,,00:00:00.261,,
128,2025-12-28T16:01:31.532682,MOBILE,finished inference,3,,LED,,,,00:00:05.431,,
129,2025-12-28T16:01:31.572090,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.039,,
130,2025-12-28T16:01:31.580581,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 0.83% | Pixels: 2238/270400,,00:00:00.008,,
131,2025-12-28T16:01:31.582714,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.002,,
132,2025-12-28T16:01:31.612167,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 0.8%)",,00:00:00.029,,
133,2025-12-28T16:01:31.616869,MOBILE,result,3,,LED,,person,0.008,00:00:00.004,,
134,2025-12-28T16:01:31.626324,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.009,,
135,2025-12-28T16:01:31.630710,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.004,,
136,2025-12-28T16:01:31.669791,MOBILE,converted output to speech,3,,LED,,,,00:00:00.039,,
137,2025-12-28T16:01:36.010542,MOBILE,capture,3,,LED,,starting,,00:00:04.340,,
138,2025-12-28T16:01:36.294021,MOBILE,capture,3,,LED,,finished (26963 bytes),,00:00:00.283,,
139,2025-12-28T16:01:36.297867,MOBILE,detectScene,3,,LED,,starting,,00:00:00.003,,
140,2025-12-28T16:01:36.428435,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.130,,
141,2025-12-28T16:01:36.666383,MOBILE,running inference,3,,LED,,,,00:00:00.237,,
142,2025-12-28T16:01:42.021722,MOBILE,finished inference,3,,LED,,,,00:00:05.355,,
