T+00:15:08.920 | CAMERA | Image captured: 1024x768, 28341 bytes
T+00:15:09.978 | CAMERA | Image captured: 1024x768, 27391 bytes
T+00:15:11.033 | CAMERA | Image captured: 1024x768, 31087 bytes
T+00:15:12.106 | CAMERA | Image captured: 1024x768, 30699 bytes
T+00:15:13.176 | CAMERA | Image captured: 1024x768, 31978 bytes
T+00:15:19.249 | CAMERA | Image captured: 1024x768, 31985 bytes
T+00:15:36.349 | CAMERA | Image captured: 1024x768, 30600 bytes
T+00:15:45.435 | CAMERA | Image captured: 1024x768, 30907 bytes
T+00:15:53.523 | CAMERA | Image captured: 1024x768, 31808 bytes
T+00:16:01.635 | CAMERA | Image captured: 1024x768, 31315 bytes
T+00:16:09.228 | CAMERA | Image captured: 1024x768, 32325 bytes
T+00:16:17.320 | CAMERA | Image captured: 1024x768, 32257 bytes
T+00:16:30.915 | CAMERA | Image captured: 1024x768, 32020 bytes
T+00:19:05.805 | CAMERA | Image captured: 1024x768, 34647 bytes
T+00:19:07.871 | CAMERA | Image captured: 1024x768, 32606 bytes
T+00:19:08.935 | CAMERA | Image captured: 1024x768, 28263 bytes
T+00:19:10.005 | CAMERA | Image captured: 1024x768, 27766 bytes
T+00:19:11.572 | CAMERA | Image captured: 1024x768, 29963 bytes
T+00:19:14.727 | CAMERA | Image captured: 1024x768, 27775 bytes
T+00:19:17.289 | CAMERA | Image captured: 1024x768, 25547 bytes
T+00:19:18.352 | CAMERA | Image captured: 1024x768, 30133 bytes
T+00:19:19.914 | CAMERA | Image captured: 1024x768, 29138 bytes
T+00:19:20.985 | CAMERA | Image captured: 1024x768, 28232 bytes
T+00:19:22.046 | CAMERA | Image captured: 1024x768, 29828 bytes
T+00:19:23.616 | CAMERA | Image captured: 1024x768, 28961 bytes
T+00:19:24.708 | CAMERA | Image captured: 1024x768, 28566 bytes
T+00:19:25.770 | CAMERA | Image captured: 1024x768, 28742 bytes
T+00:19:26.835 | CAMERA | Image captured: 1024x768, 30004 bytes
T+00:19:28.405 | CAMERA | Image captured: 1024x768, 30224 bytes
T+00:19:34.499 | CAMERA | Image captured: 1024x768, 28772 bytes
T+00:19:45.660 | CAMERA | Image captured: 1024x768, 29576 bytes
T+00:19:53.315 | CAMERA | Image captured: 1024x768, 31447 bytes
T+00:21:58.627 | CAMERA | Image captured: 1024x768, 33304 bytes
T+00:21:59.701 | CAMERA | Image captured: 1024x768, 32244 bytes
T+00:22:00.784 | CAMERA | Image captured: 1024x768, 26124 bytes
T+00:22:01.845 | CAMERA | Image captured: 1024x768, 27493 bytes
T+00:22:03.402 | CAMERA | Image captured: 1024x768, 28515 bytes
T+00:22:05.023 | CAMERA | Image captured: 1024x768, 28473 bytes
T+00:22:06.164 | CAMERA | Image captured: 1024x768, 27848 bytes
T+00:22:08.234 | CAMERA | Image captured: 1024x768, 29275 bytes
T+00:22:09.808 | CAMERA | Image captured: 1024x768, 29791 bytes
T+00:22:15.879 | CAMERA | Image captured: 1024x768, 28049 bytes
T+00:22:24.538 | CAMERA | Image captured: 1024x768, 28264 bytes
T+00:22:34.128 | CAMERA | Image captured: 1024x768, 28816 bytes
T+00:22:45.721 | CAMERA | Image captured: 1024x768, 29901 bytes
T+00:25:55.676 | CAMERA | Image captured: 1024x768, 29609 bytes
T+00:25:57.758 | CAMERA | Image captured: 1024x768, 30174 bytes
T+00:25:58.928 | CAMERA | Image captured: 1024x768, 25168 bytes
T+00:26:00.005 | CAMERA | Image captured: 1024x768, 25236 bytes
T+00:26:01.061 | CAMERA | Image captured: 1024x768, 25053 bytes
T+00:26:02.682 | CAMERA | Image captured: 1024x768, 23609 bytes
T+00:26:03.832 | CAMERA | Image captured: 1024x768, 25373 bytes
T+00:26:04.893 | CAMERA | Image captured: 1024x768, 26577 bytes
T+00:26:06.465 | CAMERA | Image captured: 1024x768, 26042 bytes
T+00:26:12.537 | CAMERA | Image captured: 1024x768, 25485 bytes
T+00:26:22.189 | CAMERA | Image captured: 1024x768, 25176 bytes
T+00:26:31.782 | CAMERA | Image captured: 1024x768, 27041 bytes
T+00:01:27.762 | CAMERA | Image captured: 640x480, 12827 bytes
T+00:01:29.796 | CAMERA | Image captured: 640x480, 16353 bytes
T+00:01:32.823 | CAMERA | Image captured: 640x480, 24392 bytes
T+00:01:39.609 | CAMERA | Image captured: 1024x768, 16121 bytes
T+00:01:41.663 | CAMERA | Image captured: 1024x768, 17069 bytes
T+00:01:42.716 | CAMERA | Image captured: 1024x768, 23967 bytes
T+00:01:43.822 | CAMERA | Image captured: 1024x768, 21927 bytes
T+00:01:44.882 | CAMERA | Image captured: 1024x768, 25578 bytes
T+00:01:45.953 | CAMERA | Image captured: 1024x768, 25276 bytes
T+00:01:47.015 | CAMERA | Image captured: 1024x768, 23903 bytes
T+00:01:48.078 | CAMERA | Image captured: 1024x768, 25858 bytes
T+00:01:49.136 | CAMERA | Image captured: 1024x768, 26615 bytes
T+00:01:52.193 | CAMERA | Image captured: 1024x768, 25416 bytes
T+00:01:53.247 | CAMERA | Image captured: 1024x768, 25756 bytes
T+00:01:54.818 | CAMERA | Image captured: 1024x768, 24981 bytes
T+00:01:56.119 | CAMERA | Image captured: 1024x768, 26151 bytes
T+00:02:02.193 | CAMERA | Image captured: 1024x768, 27046 bytes
T+00:02:07.328 | CAMERA | Image captured: 1024x768, 27254 bytes
T+00:02:09.949 | CAMERA | Image captured: 1024x768, 25152 bytes
T+00:02:16.531 | CAMERA | Image captured: 1024x768, 25109 bytes
T+00:02:17.607 | CAMERA | Image captured: 1024x768, 27564 bytes
T+00:02:18.666 | CAMERA | Image captured: 1024x768, 24939 bytes
T+00:02:19.736 | CAMERA | Image captured: 1024x768, 21537 bytes
T+00:02:20.788 | CAMERA | Image captured: 1024x768, 19512 bytes
T+00:02:21.843 | CAMERA | Image captured: 1024x768, 19605 bytes
T+00:02:22.905 | CAMERA | Image captured: 1024x768, 21952 bytes
T+00:02:24.970 | CAMERA | Image captured: 1024x768, 22678 bytes
T+00:02:26.029 | CAMERA | Image captured: 1024x768, 27424 bytes
T+00:02:27.092 | CAMERA | Image captured: 1024x768, 27123 bytes
T+00:02:28.153 | CAMERA | Image captured: 1024x768, 25347 bytes
T+00:02:29.278 | CAMERA | Image captured: 1024x768, 23458 bytes
T+00:02:30.336 | CAMERA | Image captured: 1024x768, 25475 bytes
T+00:02:31.413 | CAMERA | Image captured: 1024x768, 24671 bytes
T+00:02:32.473 | CAMERA | Image captured: 1024x768, 25397 bytes
T+00:02:34.556 | CAMERA | Image captured: 1024x768, 24779 bytes
T+00:02:36.632 | CAMERA | Image captured: 1024x768, 27220 bytes
T+00:02:42.696 | CAMERA | Image captured: 1024x768, 26666 bytes
T+00:02:45.253 | CAMERA | Image captured: 1024x768, 26766 bytes
T+00:02:48.344 | CAMERA | Image captured: 1024x768, 24725 bytes
T+00:04:11.669 | CAMERA | Image captured: 1024x768, 26080 bytes
T+00:04:12.729 | CAMERA | Image captured: 1024x768, 26924 bytes
T+00:04:13.893 | CAMERA | Image captured: 1024x768, 25075 bytes
T+00:04:14.954 | CAMERA | Image captured: 1024x768, 26557 bytes
